id bact temp inoc cage day bill leg
136 ctrl cold egg 1 22 40.2 55.8
137 ctrl cold egg 1 22 40.6 61.2
138 ctrl cold egg 1 22 44.5 59.9
139 ctrl cold egg 1 22 38.9 55.6
140 ctrl cold egg 1 22 42.4 59.3
141 ctrl cold egg 1 22 40.8 59.0
142 ctrl cold egg 1 22 42.9 57.9
13 myco warm chick 2 22 44.1 61.9
51 myco warm chick 2 22 40.9 61.1
52 myco warm chick 2 22 41.0 62.2
53 myco warm chick 2 22 43.3 61.8
100 myco warm chick 2 22 38.3 58.2
170 myco warm chick 2 22 41.8 61.8
171 myco warm chick 2 22 39.8 59.5
172 myco warm chick 2 22 39.6 61.3
173 myco warm chick 2 22 41.7 59.1
174 myco warm chick 2 22 42.1 61.1
175 myco warm chick 2 22 41.1 57.9
178 myco warm chick 5 22 40.2 57.9
179 myco warm chick 5 22 38.0 61.7
180 myco warm chick 5 22 38.0 56.5
181 myco warm chick 5 22 40.3 58.0
182 myco warm chick 5 22 40.2 56.9
183 myco warm chick 5 22 41.2 63.2
184 myco warm chick 5 22 42.8 62.8
185 myco warm chick 5 22 41.5 60.2
186 myco warm chick 5 22 42.6 62.5
187 myco warm chick 5 22 38.8 58.4
4 myco warm egg 6 22 41.4 61.2
5 myco warm egg 6 22 38.1 59.8
6 myco warm egg 6 22 40.3 58.9
7 myco warm egg 6 22 36.3 55.8
8 myco warm egg 6 22 40.0 59.6
22 myco warm egg 6 21 36.8 58.5
176 myco warm egg 6 22 41.1 60.6
27 myco cold chick 7 21 36.3 57.6
93 myco cold chick 7 21 36.9 58.4
143 myco cold chick 7 21 38.0 56.2
144 myco cold chick 7 21 40.3 59.4
146 myco cold chick 7 21 39.8 56.8
147 myco cold chick 7 21 39.8 56.5
148 myco cold chick 7 21 39.1 56.1
149 myco cold chick 7 21 39.3 59.7
150 myco cold chick 7 21 42.3 61.9
159 myco cold chick 7 21 39.6 55.3
107 ctrl cold egg 9 22 38.0 57.0
109 ctrl cold egg 9 22 38.2 59.1
113 ctrl cold egg 9 22 40.7 57.4
114 ctrl cold egg 9 22 39.7 58.1
115 ctrl cold egg 9 22 40.7 57.9
119 ctrl cold egg 9 22 38.1 55.9
120 ctrl cold egg 9 22 37.6 57.0
121 ctrl cold egg 9 22 39.5 57.3
123 ctrl cold egg 9 22 41.5 56.6
1148 ctrl cold egg 9 22 39.9 59.0
853 ctrl cold chick 11 21 41.1 60.3
856 ctrl cold chick 11 21 39.4 57.0
861 ctrl cold chick 11 21 39.3 57.3
1129 ctrl cold chick 11 21 39.5 56.8
1135 ctrl cold chick 11 21 42.2 60.5
1138 ctrl cold chick 11 21 39.4 56.1
1142 ctrl cold chick 11 21 40.8 59.5
1143 ctrl cold chick 11 21 41.4 59.5
1145 ctrl cold chick 11 21 40.4 59.5
1147 ctrl cold chick 11 21 38.8 55.7
910 ctrl warm chick 13 22 41.8 58.4
911 ctrl warm chick 13 22 39.5 57.9
914 ctrl warm chick 13 22 44.9 60.8
915 ctrl warm chick 13 22 44.6 63.0
917 ctrl warm chick 13 22 41.1 59.9
1106 ctrl warm chick 13 22 42.6 60.8
1107 ctrl warm chick 13 22 39.6 58.5
1108 ctrl warm chick 13 22 39.0 61.3
1113 ctrl warm chick 13 22 42.9 63.8
1126 ctrl warm chick 13 22 41.1 61.5
104 ctrl cold egg 14 22 40.4 58.8
105 ctrl cold egg 14 22 36.0 55.0
122 ctrl cold egg 14 22 40.8 58.0
124 ctrl cold egg 14 22 43.6 57.8
125 ctrl cold egg 14 22 38.4 57.8
127 ctrl cold egg 14 22 38.4 60.6
801 ctrl cold egg 14 22 43.4 59.4
864 ctrl cold egg 14 22 36.9 58.4
871 ctrl cold egg 14 22 40.3 60.6
1146 ctrl cold egg 14 22 39.3 58.4
37 myco cold egg 17 22 40.7 57.9
151 myco cold egg 17 22 37.5 57.9
155 myco cold egg 17 22 42.3 58.4
156 myco cold egg 17 22 38.8 57.4
161 myco cold egg 17 22 38.0 59.6
162 myco cold egg 17 22 34.4 52.5
164 myco cold egg 17 21 43.0 59.3
165 myco cold egg 17 21 38.2 54.6
166 myco cold egg 17 21 36.7 57.7
167 myco cold egg 17 21 38.6 57.8
168 myco cold egg 17 21 36.5 57.9
2 myco warm egg 18 22 40.3 61.2
3 myco warm egg 18 22 39.7 62.2
10 myco warm egg 18 22 41.7 62.6
12 myco warm egg 18 22 38.2 57.4
14 myco warm egg 18 22 43.7 62.6
15 myco warm egg 18 22 43.2 61.6
16 myco warm egg 18 22 38.8 57.7
17 myco warm egg 18 22 42.5 64.1
18 myco warm egg 18 22 43.6 65.0
19 myco warm egg 18 21 37.9 58.7
99 myco warm chick 19 22 43.0 62.3
188 myco warm chick 19 22 43.2 62.7
189 myco warm chick 19 22 43.7 58.3
190 myco warm chick 19 22 38.1 54.6
191 myco warm chick 19 22 39.7 60.0
192 myco warm chick 19 22 40.6 60.0
193 myco warm chick 19 22 37.7 57.6
194 myco warm chick 19 22 40.8 59.0
195 myco warm chick 19 22 39.0 57.7
196 myco warm chick 19 22 41.5 61.0
197 myco warm chick 19 22 40.2 59.3
88 ctrl warm egg 21 22 44.3 58.7
89 ctrl warm egg 21 22 40.2 60.4
90 ctrl warm egg 21 22 41.0 57.6
94 ctrl warm egg 21 21 37.5 57.8
95 ctrl warm egg 21 22 40.1 58.2
98 ctrl warm egg 21 21 40.5 61.9
996 ctrl warm egg 21 22 38.5 59.8
126 ctrl cold egg 22 22 37.7 57.5
128 ctrl cold egg 22 21 36.0 58.7
129 ctrl cold egg 22 22 40.3 63.3
130 ctrl cold egg 22 22 39.0 56.7
131 ctrl cold egg 22 21 37.3 54.5
132 ctrl cold egg 22 22 38.3 56.9
133 ctrl cold egg 22 21 38.8 56.4
134 ctrl cold egg 22 22 42.4 57.4
135 ctrl cold egg 22 22 40.2 59.6
55 ctrl warm egg 23 22 42.6 59.6
56 ctrl warm egg 23 22 38.6 57.9
58 ctrl warm egg 23 22 41.8 61.0
59 ctrl warm egg 23 22 41.4 59.1
62 ctrl warm egg 23 22 43.2 62.0
63 ctrl warm egg 23 22 41.1 62.0
66 ctrl warm egg 23 22 40.0 57.6
67 ctrl warm egg 23 22 39.9 61.5
997 ctrl warm egg 23 22 42.0 59.1
1136 ctrl warm egg 23 22 41.8 61.1
36 myco cold egg 24 22 38.6 58.4
152 myco cold egg 24 22 40.5 60.3
154 myco cold egg 24 22 42.6 59.4
157 myco cold egg 24 22 40.3 61.5
158 myco cold egg 24 22 38.3 55.0
160 myco cold egg 24 22 41.4 58.9
163 myco cold egg 24 22 38.5 60.3
200 myco cold egg 24 22 39.8 57.5
39 myco cold chick 25 21 37.7 54.0
40 myco cold chick 25 21 38.4 60.3
41 myco cold chick 25 21 38.7 57.5
42 myco cold chick 25 21 37.6 55.0
43 myco cold chick 25 21 37.3 55.8
44 myco cold chick 25 21 35.8 52.8
45 myco cold chick 25 21 38.5 55.0
46 myco cold chick 25 21 44.0 61.0
47 myco cold chick 25 21 40.8 58.0
1050 myco cold chick 25 21 42.4 56.8
0 ctrl warm egg 27 22 36.6 59.5
76 ctrl warm egg 27 22 36.9 57.2
77 ctrl warm egg 27 22 38.9 59.1
78 ctrl warm egg 27 22 40.4 60.6
