cow month first period dim water milk
717 1 h 1 236 h 372
717 1 h 2 257 c 342
717 1 c 3 278 c 311
717 1 c 4 299 h 266
728 11 h 1 342 h 294
728 11 h 2 363 c 305
747 1 h 1 219 h 330
747 1 h 2 240 c 284
747 1 c 3 261 c 309
747 1 c 4 282 h 229
750 8 c 1 341 c 258
750 8 c 2 362 h 221
770 5 c 1 231 c 313
770 5 c 2 273 h 270
782 4 c 1 263 c 348
782 4 c 2 284 h 287
819 1 h 1 193 h 400
819 1 h 2 214 c 373
819 1 c 3 235 c 324
819 1 c 4 256 h 262
835 9 c 1 273 c 289
835 9 c 2 294 h 235
850 4 c 1 231 c 395
850 4 c 2 273 h 381
850 4 c 3 252 c 385
850 4 c 4 315 h 336
852 3 h 1 197 h 514
852 3 h 2 218 c 409
852 3 c 3 239 c 296
852 3 c 4 260 h 181
854 1 c 1 289 c 315
854 1 c 2 310 h 254
859 3 h 1 261 h 412
859 3 h 2 282 c 347
859 4 h 3 324 h 261
859 4 h 4 345 c 203
862 1 c 1 205 c 454
862 1 c 2 226 h 407
862 1 h 3 247 h 329
862 1 h 4 268 c 128
863 1 c 1 198 c 392
863 1 c 2 219 h 396
863 1 c 3 240 c 370
863 1 c 4 261 h 365
868 1 h 1 175 h 354
868 1 h 2 196 c 361
869 1 h 1 168 h 476
869 1 h 2 189 c 460
870 11 h 1 301 h 281
870 11 h 2 322 c 275
872 10 c 1 282 c 232
872 10 c 2 303 h 82
879 1 c 1 289 c 368
879 1 c 2 310 h 364
879 1 c 3 331 c 361
879 1 c 4 352 h 326
880 1 c 1 269 c 349
880 1 c 2 290 h 337
880 1 c 3 311 c 324
880 1 c 4 332 h 297
886 1 c 1 194 c 389
886 1 c 2 215 h 382
886 1 h 3 236 h 367
886 1 h 4 257 c 339
887 4 c 1 207 c 317
887 4 c 2 228 h 316
887 4 c 3 228 c 219
887 4 c 4 270 h 308
888 1 h 1 180 h 304
888 1 h 2 201 c 285
