trt   bwt    bwg      fi     fe  cla   la
1 1510.25 1416.1 2451.75 0.5776 0.25 0.00
1 1539.00 1447.0 2546.00 0.5683 0.25 0.00
1 1604.50 1509.6 2657.00 0.5682 0.25 0.00
2 1597.80 1497.8 2452.10 0.6108 0.50 0.00
2 1566.80 1469.9 2404.90 0.6112 0.50 0.00
2 1562.00 1469.4 2479.90 0.5925 0.50 0.00
3 1606.30 1510.1 2788.70 0.5415 0.00 0.00
3 1520.50 1423.0 2655.50 0.5359 0.00 0.00
3 1396.50 1295.9 2366.40 0.5476 0.00 0.00
4 1454.00 1354.8 2578.80 0.5253 0.00 0.50
4 1428.30 1326.8 2384.40 0.5564 0.00 0.50
4 1423.30 1335.1 2477.50 0.5389 0.00 0.50
