fors h89 date dup toocytes gv mi
0.  0 14 1 13 1 8
0.  0 15 1 13 0 12
0.  0 22 1 8 1 4
0.  0 14 1 12 3 9
0.  0 15 1 18 2 15
0.  0 22 1 7  0 6
1.  0 14 1 14 9 2
1.  0 14 2 10 9  0
1.  0 15 1 18 15  0
1.  0 15 2 18 14  0
1.  0 22 1 10 8  0
1.  0 22 2 10 7 1
.5  0 14 1 14 10  0
.5  0 14 2 11 7  0
.5  0 15 1 16 13  0
.5  0 15 2 15 14  0
.5  0 22 1 4 2 1
.5  0 22 2 4 2  0
0. 50 14 1 4 1  0
0. 50 15 1 15 4  0
0. 50 22 1 10 2  0
0. 50 14 1 6 2  0
0. 50 15 1 15 2 1
0. 50 22 1 8 3 1
1. 50 14 1 14 1  0
1. 50 14 2 22 15  0
1. 50 15 1 14 10  0
1. 50 15 2 14 6 1
1. 50 22 1 9 2 1
1. 50 22 2 9 1  0
.5 50 14 1 18 2  0
.5 50 14 2 13  0  0
.5 50 15 1 13 3  0
.5 50 15 2 12 5  0
.5 50 22 1 7 1 1
.5 50 22 2 10 1  0
0. 100 15 1 10 1  0
0. 100 22 1 4  0  0
0. 100 14 1 18 1  0
0. 100 15 1 14  0  0
0. 100 22 1 8  0  0
1. 100 14 1 15 2  0
1. 100 14 2 9  0  0
1. 100 15 1 18  0  0
1. 100 15 2 15 2  0
1. 100 22 1 10 1  0
1. 100 22 2 10 1  0
.5 100 14 1 13 1  0
.5 100 14 2 12  0 1
.5 100 15 1 16 1  0
.5 100 15 2 11  0  0
.5 100 22 1 11  0 2
.5 100 22 2 9 1  0
