soil  reps acc score1 score2 score3 ht1 score4 ht2 score5 ht3 score6
dtac2   1 autocla 4.00 6.50 7.00 37.50 7.00 52.75 7.00 62.75 7.00
dtac2   1 notauto 7.00 8.25 8.25 30.50 8.25 36.50 8.25 40.50 8.25
dtac2   2 autocla 0.50 3.75 4.25 27.25 4.50 42.75 5.50 49.75 6.50
dtac2   2 notauto 4.00 6.25 6.00 45.50 6.00 51.25 6.00 57.25 6.00
dtac2   3 autocla 3.00 6.00 6.50 40.75 7.00 54.25 7.00 67.25 7.00
dtac2   3 notauto 7.25 8.25 8.50 42.00 8.50 49.50 8.50 53.00 8.50
dtac2   4 autocla 1.75 4.25 5.50 35.00 6.25 49.25 6.75 62.00 7.00
dtac2   4 notauto 2.00 3.50 3.50 44.00 3.50 49.25 3.50 55.50 3.50
dtac2   5 autocla 0.25 0.75 1.50 23.50 2.50 31.50 4.00 38.00 4.50
dtac2   5 notauto 5.00 6.75 6.50 43.25 6.50 49.00 6.50 52.00 6.50
dtac2   6 autocla 0.75 1.75 2.00 40.75 3.50 48.00 5.25 57.50 5.50
dtac2   6 notauto 3.25 5.25 6.00 43.00 6.25 46.25 6.25 49.00 6.25
grass   1 autocla 0.25 2.00 2.25 27.50 2.75 37.75 3.50 51.25 4.25
grass   1 notauto 0.50 1.25 1.25 22.75 1.75 27.75 3.00 28.00 3.00
grass   2 autocla 0.25 2.50 3.50 30.00 4.25 36.25 4.75 44.00 4.75
grass   2 notauto 2.25 3.00 3.00 25.75 3.25 28.50 3.25 31.00 3.25
grass   3 autocla 1.50 3.25 4.00 41.25 6.50 50.75 7.50 60.25 7.50
grass   3 notauto 3.00 3.00 3.25 29.75 3.50 33.25 3.50 38.25 3.50
grass   4 autocla 1.25 4.25 4.25 39.00 4.25 52.50 4.25 60.00 4.25
grass   4 notauto 0.75 1.50 1.75 25.75 2.75 30.50 2.75 33.00 2.75
grass   5 autocla 0.00 1.75 2.25 32.75 2.75 45.25 3.00 52.75 3.00
grass   5 notauto 0.75 1.75 1.75 19.50 2.25 29.00 3.25 30.50 3.25
grass   6 autocla 0.50 3.25 4.00 35.00 6.25 49.25 7.00 62.75 7.25
grass   6 notauto 0.75 1.75 1.75 24.50 2.50 30.50 2.50 32.75 2.50
grnhous 1 autocla 1.25 1.50 3.50 27.75 5.75 34.50 7.00 39.75 8.00
grnhous 1 notauto 5.75 6.25 5.75 36.00 5.75 42.00 5.75 42.25 5.75
grnhous 2 autocla 0.00 1.50 3.25 16.25 4.00 26.50 7.25 30.25 7.50
grnhous 2 notauto 6.75 7.00 7.00 33.25 7.00 38.50 7.00 39.00 7.00
grnhous 3 autocla 0.00 3.00 4.75 32.50 5.50 34.00 7.00 30.50 7.00
grnhous 3 notauto 7.50 8.75 5.75 33.00 5.75 34.50 5.75 37.75 5.75
grnhous 4 autocla 4.00 6.00 6.25 28.75 7.25 32.50 7.25 34.00 7.25
grnhous 4 notauto 7.75 9.50 9.00 33.50 9.25 34.25 9.25 37.75 9.25
